image,class
dataset/3ayn/iCalibri_25 size78.jpg,3ayn
dataset/3ayn/iCalibri_25 size79.jpg,3ayn
dataset/3ayn/iCalibri_25 size80.jpg,3ayn
dataset/3ayn/iCalibri_25 size81.jpg,3ayn
dataset/3ayn/iCalibri_26 size70.jpg,3ayn
dataset/3ayn/iCalibri_26 size71.jpg,3ayn
dataset/3ayn/iCalibri_26 size72.jpg,3ayn
dataset/3ayn/iCalibri_26 size73.jpg,3ayn
dataset/3ayn/iCalibri_27 size67.jpg,3ayn
dataset/3ayn/iCalibri_27 size68.jpg,3ayn
dataset/3ayn/iCalibri_27 size69.jpg,3ayn
dataset/3ayn/iCalibri_27 size70.jpg,3ayn
dataset/3ayn/iCalibri_28 size64.jpg,3ayn
dataset/3ayn/iCalibri_28 size65.jpg,3ayn
dataset/3ayn/iCalibri_28 size66.jpg,3ayn
dataset/3ayn/iCalibri_28 size67.jpg,3ayn
dataset/3ayn/iCalibri_29 size58.jpg,3ayn
dataset/3ayn/iCalibri_29 size59.jpg,3ayn
dataset/3ayn/iCalibri_29 size60.jpg,3ayn
dataset/3ayn/iCalibri_29 size61.jpg,3ayn
dataset/3ayn/iCalibri_30 size57.jpg,3ayn
dataset/3ayn/iCalibri_30 size58.jpg,3ayn
dataset/3ayn/iCalibri_30 size89.jpg,3ayn
dataset/3ayn/iCalibri_30 size90.jpg,3ayn
dataset/3ayn/iCalibri_31 size82.jpg,3ayn
dataset/3ayn/iCalibri_31 size83.jpg,3ayn
dataset/3ayn/iCalibri_31 size84.jpg,3ayn
dataset/3ayn/iCalibri_31 size85.jpg,3ayn
dataset/3ayn/iCalibri_32 size77.jpg,3ayn
dataset/3ayn/iCalibri_32 size78.jpg,3ayn
dataset/3ayn/iCalibri_32 size79.jpg,3ayn
dataset/3ayn/iCalibri_32 size80.jpg,3ayn
dataset/3ayn/iCalibri_33 size72.jpg,3ayn
dataset/3ayn/iCalibri_33 size73.jpg,3ayn
dataset/3ayn/iCalibri_33 size74.jpg,3ayn
dataset/3ayn/iCalibri_33 size75.jpg,3ayn
dataset/3ayn/iCalibri_34 size70.jpg,3ayn
dataset/3ayn/iCalibri_34 size71.jpg,3ayn
dataset/3ayn/iCalibri_34 size72.jpg,3ayn
dataset/3ayn/iCalibri_34 size73.jpg,3ayn
dataset/3ayn/iCalibri_35 size62.jpg,3ayn
dataset/3ayn/iCalibri_35 size63.jpg,3ayn
dataset/3ayn/iCalibri_35 size64.jpg,3ayn
dataset/3ayn/iCalibri_35 size65.jpg,3ayn
dataset/3ayn/iCalibri_36 size60.jpg,3ayn
dataset/3ayn/iCalibri_36 size61.jpg,3ayn
dataset/3ayn/iCalibri_36 size62.jpg,3ayn
dataset/3ayn/iCalibri_36 size88.jpg,3ayn
dataset/3ayn/iCalibri_37 size59.jpg,3ayn
dataset/3ayn/iCalibri_37 size60.jpg,3ayn
dataset/3ayn/iCalibri_37 size85.jpg,3ayn
dataset/3ayn/iCalibri_37 size86.jpg,3ayn
dataset/3ayn/iCalibri_38 size59.jpg,3ayn
dataset/3ayn/iCalibri_38 size83.jpg,3ayn
dataset/3ayn/iCalibri_38 size84.jpg,3ayn
dataset/3ayn/iCalibri_38 size85.jpg,3ayn
dataset/3ayn/iCalibri_39 size78.jpg,3ayn
dataset/3ayn/iCalibri_39 size79.jpg,3ayn
dataset/3ayn/iCalibri_39 size80.jpg,3ayn
dataset/3ayn/iCalibri_39 size81.jpg,3ayn
dataset/3ayn/iCalibri_40 size72.jpg,3ayn
dataset/3ayn/iCalibri_40 size73.jpg,3ayn
dataset/3ayn/iCalibri_40 size74.jpg,3ayn
dataset/3ayn/iCalibri_40 size75.jpg,3ayn
dataset/3ayn/z101Typesetting_19 size.jpg,3ayn
dataset/3ayn/z102Typesetting_19 size.jpg,3ayn
dataset/3ayn/z103Typesetting_12 size.jpg,3ayn
dataset/3ayn/z103Typesetting_19 size.jpg,3ayn
dataset/3ayn/z104Typesetting_12 size.jpg,3ayn
dataset/3ayn/z104Typesetting_19 size.jpg,3ayn
dataset/3ayn/z105Typesetting_12 size.jpg,3ayn
dataset/3ayn/z106Typesetting_12 size.jpg,3ayn
dataset/3ayn/z108iAndalus_16 size.jpg,3ayn
dataset/3ayn/z109iAndalus_16 size.jpg,3ayn
dataset/3ayn/z111Typesetting_18 size.jpg,3ayn
dataset/3ayn/z112Typesetting_18 size.jpg,3ayn
dataset/3ayn/z39iAndalus_16 size.jpg,3ayn
dataset/3ayn/z40iAndalus_16 size.jpg,3ayn
dataset/3ayn/z40Typesetting_18 size.jpg,3ayn
dataset/3ayn/z41Typesetting_18 size.jpg,3ayn
dataset/3ayn/z46iAndalus_15 size.jpg,3ayn
dataset/3ayn/z47iAndalus_15 size.jpg,3ayn
dataset/3ayn/z47Typesetting_17 size.jpg,3ayn
dataset/3ayn/z48iAndalus_15 size.jpg,3ayn
dataset/3ayn/z48Typesetting_17 size.jpg,3ayn
dataset/3ayn/z49iAndalus_15 size.jpg,3ayn
dataset/3ayn/z49Typesetting_17 size.jpg,3ayn
dataset/3ayn/z50Typesetting_17 size.jpg,3ayn
dataset/3ayn/z52Typesetting_27 size.jpg,3ayn
dataset/3ayn/z53iAndalus_14 size.jpg,3ayn
dataset/3ayn/z53Typesetting_27 size.jpg,3ayn
dataset/3ayn/z54iAndalus_14 size.jpg,3ayn
dataset/3ayn/z54iAndalus_23 size.jpg,3ayn
dataset/3ayn/z55iAndalus_14 size.jpg,3ayn
dataset/3ayn/z55iAndalus_23 size.jpg,3ayn
dataset/3ayn/z55Typesetting_16 size.jpg,3ayn
dataset/3ayn/z55Unicode_16 size.jpg,3ayn
dataset/3ayn/z56iAndalus_14 size.jpg,3ayn
dataset/3ayn/z56iAndalus_23 size.jpg,3ayn
dataset/3ayn/z56iAndalus_32 size.jpg,3ayn
dataset/3ayn/z56Typesetting_16 size.jpg,3ayn
dataset/3ayn/z56Typesetting_36 size.jpg,3ayn
dataset/3ayn/z56Typesetting_37 size.jpg,3ayn
dataset/3ayn/z56Unicode_16 size.jpg,3ayn
dataset/3ayn/z57iAndalus_23 size.jpg,3ayn
dataset/3ayn/z57iAndalus_31 size.jpg,3ayn
dataset/3ayn/z57iAndalus_32 size.jpg,3ayn
dataset/3ayn/z57Typesetting_16 size.jpg,3ayn
dataset/3ayn/z57Unicode_16 size.jpg,3ayn
dataset/3ayn/z57Unicode_22 size.jpg,3ayn
dataset/3ayn/z58iAndalus_22 size.jpg,3ayn
dataset/3ayn/z58iAndalus_31 size.jpg,3ayn
dataset/3ayn/z58Typesetting_16 size.jpg,3ayn
dataset/3ayn/z58Unicode_16 size.jpg,3ayn
dataset/3ayn/z58Unicode_22 size.jpg,3ayn
dataset/3ayn/z59iAndalus_22 size.jpg,3ayn
dataset/3ayn/z59iAndalus_31 size.jpg,3ayn
dataset/3ayn/z59Typesetting_35 size.jpg,3ayn
dataset/3ayn/z59Unicode_28 size.jpg,3ayn
dataset/3ayn/z60iAndalus_22 size.jpg,3ayn
dataset/3ayn/z60iAndalus_31 size.jpg,3ayn
dataset/3ayn/z60Typesetting_25 size.jpg,3ayn
dataset/3ayn/z60Typesetting_26 size.jpg,3ayn
dataset/3ayn/z60Typesetting_35 size.jpg,3ayn
dataset/3ayn/z60Unicode_27 size.jpg,3ayn
dataset/3ayn/z61iAndalus_22 size.jpg,3ayn
dataset/3ayn/z61Typesetting_15 size.jpg,3ayn
dataset/3ayn/z61Typesetting_25 size.jpg,3ayn
dataset/3ayn/z61Typesetting_26 size.jpg,3ayn
dataset/3ayn/z61Typesetting_35 size.jpg,3ayn
dataset/3ayn/z61Unicode_15 size.jpg,3ayn
dataset/3ayn/z61Unicode_21 size.jpg,3ayn
dataset/3ayn/z61Unicode_27 size.jpg,3ayn
dataset/3ayn/z62Typesetting_15 size.jpg,3ayn
dataset/3ayn/z62Typesetting_25 size.jpg,3ayn
dataset/3ayn/z62Typesetting_26 size.jpg,3ayn
dataset/3ayn/z62Typesetting_34 size.jpg,3ayn
dataset/3ayn/z62Typesetting_35 size.jpg,3ayn
dataset/3ayn/z62Unicode_15 size.jpg,3ayn
dataset/3ayn/z62Unicode_21 size.jpg,3ayn
dataset/3ayn/z63iAndalus_21 size.jpg,3ayn
dataset/3ayn/z63Typesetting_15 size.jpg,3ayn
dataset/3ayn/z63Typesetting_25 size.jpg,3ayn
dataset/3ayn/z63Typesetting_26 size.jpg,3ayn
dataset/3ayn/z63Typesetting_34 size.jpg,3ayn
dataset/3ayn/z63Unicode_15 size.jpg,3ayn
dataset/3ayn/z63Unicode_21 size.jpg,3ayn
dataset/3ayn/z64iAndalus_21 size.jpg,3ayn
dataset/3ayn/z64Typesetting_15 size.jpg,3ayn
dataset/3ayn/z64Typesetting_34 size.jpg,3ayn
dataset/3ayn/z64Unicode_15 size.jpg,3ayn
dataset/3ayn/z64Unicode_21 size.jpg,3ayn
dataset/3ayn/z64Unicode_26 size.jpg,3ayn
dataset/3ayn/z65iAndalus_21 size.jpg,3ayn
dataset/3ayn/z65iAndalus_29 size.jpg,3ayn
dataset/3ayn/z65Typesetting_34 size.jpg,3ayn
dataset/3ayn/z65Unicode_26 size.jpg,3ayn
dataset/3ayn/z66iAndalus_21 size.jpg,3ayn
dataset/3ayn/z66iAndalus_29 size.jpg,3ayn
dataset/3ayn/z66Typesetting_24 size.jpg,3ayn
dataset/3ayn/z66Unicode_20 size.jpg,3ayn
dataset/3ayn/z66Unicode_26 size.jpg,3ayn
dataset/3ayn/z67iAndalus_29 size.jpg,3ayn
dataset/3ayn/z67Typesetting_24 size.jpg,3ayn
dataset/3ayn/z67Unicode_20 size.jpg,3ayn
dataset/3ayn/z67Unicode_26 size.jpg,3ayn
dataset/3ayn/z68iAndalus_29 size.jpg,3ayn
dataset/3ayn/z68iAndalus_36 size.jpg,3ayn
dataset/3ayn/z68Typesetting_24 size.jpg,3ayn
dataset/3ayn/z68Typesetting_33 size.jpg,3ayn
dataset/3ayn/z68Unicode_20 size.jpg,3ayn
dataset/3ayn/z69iAndalus_36 size.jpg,3ayn
dataset/3ayn/z69Typesetting_24 size.jpg,3ayn
dataset/3ayn/z69Typesetting_33 size.jpg,3ayn
dataset/3ayn/z69Unicode_20 size.jpg,3ayn
dataset/3ayn/z70iAndalus_28 size.jpg,3ayn
dataset/3ayn/z70iAndalus_36 size.jpg,3ayn
dataset/3ayn/z70Typesetting_32 size.jpg,3ayn
dataset/3ayn/z70Typesetting_33 size.jpg,3ayn
dataset/3ayn/z71iAndalus_28 size.jpg,3ayn
dataset/3ayn/z71iAndalus_35 size.jpg,3ayn
dataset/3ayn/z71iAndalus_36 size.jpg,3ayn
dataset/3ayn/z71Typesetting_32 size.jpg,3ayn
dataset/3ayn/z71Typesetting_33 size.jpg,3ayn
dataset/3ayn/z72iAndalus_20 size.jpg,3ayn
dataset/3ayn/z72iAndalus_28 size.jpg,3ayn
dataset/3ayn/z72iAndalus_35 size.jpg,3ayn
dataset/3ayn/z72Typesetting_23 size.jpg,3ayn
dataset/3ayn/z72Typesetting_32 size.jpg,3ayn
dataset/3ayn/z72Typesetting_40 size.jpg,3ayn
dataset/3ayn/z73iAndalus_20 size.jpg,3ayn
dataset/3ayn/z73iAndalus_27 size.jpg,3ayn
dataset/3ayn/z73iAndalus_28 size.jpg,3ayn
dataset/3ayn/z73iAndalus_35 size.jpg,3ayn
dataset/3ayn/z73Typesetting_23 size.jpg,3ayn
dataset/3ayn/z73Typesetting_32 size.jpg,3ayn
dataset/3ayn/z73Typesetting_40 size.jpg,3ayn
dataset/3ayn/z74iAndalus_20 size.jpg,3ayn
dataset/3ayn/z74iAndalus_27 size.jpg,3ayn
dataset/3ayn/z74iAndalus_35 size.jpg,3ayn
dataset/3ayn/z74Typesetting_23 size.jpg,3ayn
dataset/3ayn/z74Typesetting_40 size.jpg,3ayn
dataset/3ayn/z74Unicode_19 size.jpg,3ayn
dataset/3ayn/z74Unicode_25 size.jpg,3ayn
dataset/3ayn/z75iAndalus_20 size.jpg,3ayn
dataset/3ayn/z75iAndalus_27 size.jpg,3ayn
dataset/3ayn/z75Typesetting_22 size.jpg,3ayn
dataset/3ayn/z75Typesetting_23 size.jpg,3ayn
dataset/3ayn/z75Typesetting_31 size.jpg,3ayn
dataset/3ayn/z75Typesetting_39 size.jpg,3ayn
dataset/3ayn/z75Typesetting_40 size.jpg,3ayn
dataset/3ayn/z75Unicode_19 size.jpg,3ayn
dataset/3ayn/z75Unicode_25 size.jpg,3ayn
dataset/3ayn/z75Unicode_30 size.jpg,3ayn
dataset/3ayn/z76iAndalus_27 size.jpg,3ayn
dataset/3ayn/z76Typesetting_22 size.jpg,3ayn
dataset/3ayn/z76Typesetting_31 size.jpg,3ayn
dataset/3ayn/z76Typesetting_39 size.jpg,3ayn
dataset/3ayn/z76Unicode_19 size.jpg,3ayn
dataset/3ayn/z76Unicode_24 size.jpg,3ayn
dataset/3ayn/z76Unicode_25 size.jpg,3ayn
dataset/3ayn/z76Unicode_30 size.jpg,3ayn
dataset/3ayn/z77iAndalus_19 size.jpg,3ayn
dataset/3ayn/z77Typesetting_22 size.jpg,3ayn
dataset/3ayn/z77Typesetting_31 size.jpg,3ayn
dataset/3ayn/z77Typesetting_39 size.jpg,3ayn
dataset/3ayn/z77Unicode_19 size.jpg,3ayn
dataset/3ayn/z77Unicode_24 size.jpg,3ayn
dataset/3ayn/z77Unicode_25 size.jpg,3ayn
dataset/3ayn/z77Unicode_29 size.jpg,3ayn
dataset/3ayn/z77Unicode_30 size.jpg,3ayn
dataset/3ayn/z78iAndalus_19 size.jpg,3ayn
dataset/3ayn/z78iAndalus_26 size.jpg,3ayn
dataset/3ayn/z78Typesetting_22 size.jpg,3ayn
dataset/3ayn/z78Typesetting_31 size.jpg,3ayn
dataset/3ayn/z78Typesetting_39 size.jpg,3ayn
dataset/3ayn/z78Unicode_24 size.jpg,3ayn
dataset/3ayn/z78Unicode_29 size.jpg,3ayn
dataset/3ayn/z78Unicode_30 size.jpg,3ayn
dataset/3ayn/z79iAndalus_19 size.jpg,3ayn
dataset/3ayn/z79iAndalus_26 size.jpg,3ayn
dataset/3ayn/z79iAndalus_34 size.jpg,3ayn
dataset/3ayn/z79Typesetting_30 size.jpg,3ayn
dataset/3ayn/z79Unicode_24 size.jpg,3ayn
dataset/3ayn/z79Unicode_29 size.jpg,3ayn
dataset/3ayn/z80iAndalus_19 size.jpg,3ayn
dataset/3ayn/z80iAndalus_26 size.jpg,3ayn
dataset/3ayn/z80iAndalus_33 size.jpg,3ayn
dataset/3ayn/z80iAndalus_34 size.jpg,3ayn
dataset/3ayn/z80Typesetting_30 size.jpg,3ayn
dataset/3ayn/z80Typesetting_38 size.jpg,3ayn
dataset/3ayn/z80Unicode_29 size.jpg,3ayn
dataset/3ayn/z81iAndalus_26 size.jpg,3ayn
dataset/3ayn/z81iAndalus_33 size.jpg,3ayn
dataset/3ayn/z81iAndalus_34 size.jpg,3ayn
dataset/3ayn/z81Typesetting_30 size.jpg,3ayn
dataset/3ayn/z81Typesetting_38 size.jpg,3ayn
dataset/3ayn/z81Unicode_18 size.jpg,3ayn
dataset/3ayn/z81Unicode_23 size.jpg,3ayn
dataset/3ayn/z82iAndalus_33 size.jpg,3ayn
dataset/3ayn/z82iAndalus_34 size.jpg,3ayn
dataset/3ayn/z82Typesetting_30 size.jpg,3ayn
dataset/3ayn/z82Typesetting_38 size.jpg,3ayn
dataset/3ayn/z82Unicode_13 size.jpg,3ayn
dataset/3ayn/z82Unicode_18 size.jpg,3ayn
dataset/3ayn/z82Unicode_23 size.jpg,3ayn
dataset/3ayn/z82Unicode_28 size.jpg,3ayn
dataset/3ayn/z83iAndalus_33 size.jpg,3ayn
dataset/3ayn/z83Typesetting_29 size.jpg,3ayn
dataset/3ayn/z83Typesetting_38 size.jpg,3ayn
dataset/3ayn/z83Unicode_13 size.jpg,3ayn
dataset/3ayn/z83Unicode_18 size.jpg,3ayn
dataset/3ayn/z83Unicode_23 size.jpg,3ayn
dataset/3ayn/z83Unicode_28 size.jpg,3ayn
dataset/3ayn/z84Typesetting_21 size.jpg,3ayn
dataset/3ayn/z84Typesetting_29 size.jpg,3ayn
dataset/3ayn/z84Unicode_13 size.jpg,3ayn
dataset/3ayn/z84Unicode_18 size.jpg,3ayn
dataset/3ayn/z84Unicode_23 size.jpg,3ayn
dataset/3ayn/z84Unicode_27 size.jpg,3ayn
dataset/3ayn/z84Unicode_28 size.jpg,3ayn
dataset/3ayn/z85iAndalus_25 size.jpg,3ayn
dataset/3ayn/z85Typesetting_21 size.jpg,3ayn
dataset/3ayn/z85Typesetting_29 size.jpg,3ayn
dataset/3ayn/z85Unicode_13 size.jpg,3ayn
dataset/3ayn/z85Unicode_27 size.jpg,3ayn
dataset/3ayn/z86iAndalus_25 size.jpg,3ayn
dataset/3ayn/z86Typesetting_21 size.jpg,3ayn
dataset/3ayn/z86Typesetting_29 size.jpg,3ayn
dataset/3ayn/z87iAndalus_18 size.jpg,3ayn
dataset/3ayn/z87iAndalus_25 size.jpg,3ayn
dataset/3ayn/z87iAndalus_32 size.jpg,3ayn
dataset/3ayn/z87Typesetting_21 size.jpg,3ayn
dataset/3ayn/z87Typesetting_36 size.jpg,3ayn
dataset/3ayn/z87Typesetting_37 size.jpg,3ayn
dataset/3ayn/z88iAndalus_18 size.jpg,3ayn
dataset/3ayn/z88iAndalus_25 size.jpg,3ayn
dataset/3ayn/z88iAndalus_32 size.jpg,3ayn
dataset/3ayn/z88Typesetting_36 size.jpg,3ayn
dataset/3ayn/z88Typesetting_37 size.jpg,3ayn
dataset/3ayn/z88Unicode_22 size.jpg,3ayn
dataset/3ayn/z89iAndalus_18 size.jpg,3ayn
